url,chunk,source_doc_index
https://iti.gov.eg/home,"for individuals and entities in the ICT domain, ITI Early Career Build Up Program was initiated in 2019 as one of the most ambitious that inspires Egyptian youth to deepen their technological knowledge and shape their careers in the competitive ICT markets. Young Talent for Future Technologies (Junior Training)The ITI camps aim at building the computational thinking skills starting age group 10 years old",0
https://iti.gov.eg/home,". Mind- Junior camps chose to nature exploration, promote problem solving and embrace logical thinking and creativity with special focus on building the ICT specializations such as Cyber Security, Embedded Systems, Digital Arts and Game Development in preparation for tomorrow’s jobs. Tech-LawThe Tech-Law Track is aimed at law graduates to keep up with technological developments and challenges",0
https://iti.gov.eg/home,". It equips and empowers lawyers with a strong foundation in technology-related legal matters, to effectively navigate the evolving legal landscape in the digital era and provide valuable legal to clients operating in the technology sector. Egypt Makes Electronicsthe Egypt Makes Electronics (EME) Initiative",0
https://iti.gov.eg/home,"A presidential initiative aimed at boosting the electronics industry as a key driver of economic growth, under the supervision of the Ministry of Communications and Information Technology. Role of the Information Technology Institute (ITI):
ITI provides specialized training in: Core Engineering Specializations: Embedded Systems, Cybersecurity, E-Mobility, Digital & Analog IC Design & Verification.",0
https://iti.gov.eg/home,"Supportive : LTE Networks Engineering, Software Testing, AI & Machine Learning, Industrial Automation, IoT Applications and Android Automotive. Mahara-TechMahara-Tech, an online platform by ITI (Information Technology Institute), offers high-quality tech training for Arabic speakers. It provides specialized courses in high-demand ICT fields, including cybersecurity, data analysis, programming (Java/Open Source/.Net), cloud computing, IoT, embedded systems, and quality assurance & testing",0
https://iti.gov.eg/home,". The platform bridges the gap between technical skills and online job opportunities through: Freelancing market insights, presented by top Arabic experts.",0
https://iti.gov.eg/home,Success stories of freelancers from diverse educational backgrounds.,0
https://iti.gov.eg/home,"Networking with freelancing platforms and tailored sessions on starting an online career. usMr.Nils VogelDirector of Operations and Projects at Vector InternationalI am deeply pleased with the fruitful collaboration with the Ministry of Communications and Information Technology and its affiliated entities, particularly the Information Technology Institute (ITI), to support young Egyptian talents who possess promising potential in the advanced electronics indus..",0
https://iti.gov.eg/home,". Mr.Luz MauchDXC Luxoft Vice PresidentThe Information Technology Institute is graduating highly skilled Androide Automotive developers. He praised Egypt's dynamic and multilingual workforce, as well as its cost-effective proximity to Europe, as significant advantages for attracting global technology investments. Mr. Mauch further explai..",0
https://iti.gov.eg/home,". Mr. Mauch further explai... Dr.John KellyVice President Research, IBMI had the opportunity to talk to the ITI students; I can assure you that you have the most talented and well educated calibers, there is no doubt that your country will have a bright future.Dr.Ruhakana RugundaPrime Minister of UgandaThe fruitful cooperation with ITI emphasizes the strong historical ties between Egypt and Uganda",0
https://iti.gov.eg/home,". I hope wish to thank ITI for its successful role in the field of HCB for BPO cadres in Uganda.Prof Dr.Jurgen GausemeierThe day to day cooperation between the ITI and the University of Paderborn works very smoothly and successfully. I’m very proud of our joint protocol that I consider the best we have in the region, I deeply appreciate your visionary power and your straight ahead mentality.Dr.Howard ArmitageThrough your over two decades of experience, ITI has accumulated and developed significant experience and expertise in producing high quality development capacity",0
https://iti.gov.eg/home,". ITI as an institute that not only plays a critical role in ITC capacity building in Egypt, that it carries over this mission ve... Ahmed Abd El HalimI’ve always wanted to start my own company but I had my share of fears blocking the way",0
https://iti.gov.eg/home,". When I joined the ITI, I got to learn the technological knowledge I needed in addition to, the managerial skills I needed to set my fear aside and helped my gain the confidence to pursue my dream.Over 30 years, ITI has kept updating its training portfolio through continuous monitoring for the future global tech trends, as well as the country’s national and mega projects, hence; sustaining its graduates’ employment for individuals and entities in the ICT domain, ITI Early Career Build Up Program was initiated in 2019 as one of the most ambitious that inspires Egyptian youth to deepen their",0
https://iti.gov.eg/home,that inspires Egyptian youth to deepen their technological knowledge and shape their careers in the competitive ICT markets,0
https://iti.gov.eg/home,". Young Talent for Future Technologies (Junior Training)The ITI camps aim at building the computational thinking skills starting age group 10 years old. Mind- Junior camps chose to nature exploration, promote problem solving and embrace logical thinking and creativity with special focus on building the ICT specializations such as Cyber Security, Embedded Systems, Digital Arts and Game Development in preparation for tomorrow’s jobs. Tech-LawThe Tech-Law Track is aimed at law graduates to keep up with technological developments and challenges",0
https://iti.gov.eg/home,". It equips and empowers lawyers with a strong foundation in technology-related legal matters, to effectively navigate the evolving legal landscape in the digital era and provide valuable legal to clients operating in the technology sector. Egypt Makes Electronicsthe Egypt Makes Electronics (EME) Initiative",0
https://iti.gov.eg/home,"A presidential initiative aimed at boosting the electronics industry as a key driver of economic growth, under the supervision of the Ministry of Communications and Information Technology. Role of the Information Technology Institute (ITI):
ITI provides specialized training in: Core Engineering Specializations: Embedded Systems, Cybersecurity, E-Mobility, Digital & Analog IC Design & Verification.",0
https://iti.gov.eg/home,"Supportive : LTE Networks Engineering, Software Testing, AI & Machine Learning, Industrial Automation, IoT Applications and Android Automotive. Mahara-TechMahara-Tech, an online platform by ITI (Information Technology Institute), offers high-quality tech training for Arabic speakers. It provides specialized courses in high-demand ICT fields, including cybersecurity, data analysis, programming (Java/Open Source/.Net), cloud computing, IoT, embedded systems, and quality assurance & testing",0
